[16/02/2017 10:13:04.224]   Unregistered
[16/02/2017 10:13:05.731]   Re-register success
[16/02/2017 10:14:04.222]   Re-register
[16/02/2017 10:14:04.224]   Unregistered
[16/02/2017 10:14:05.731]   Re-register success
[16/02/2017 10:15:04.225]   Re-register
[16/02/2017 10:15:04.227]   Unregistered
[16/02/2017 10:15:05.732]   Re-register success
[16/02/2017 10:16:04.225]   Re-register
[16/02/2017 10:16:04.227]   Unregistered
[16/02/2017 10:16:05.733]   Re-register success
[16/02/2017 10:17:04.223]   Re-register
[16/02/2017 10:17:04.225]   Unregistered
[16/02/2017 10:17:05.732]   Re-register success
[16/02/2017 10:18:04.225]   Re-register
[16/02/2017 10:18:04.226]   Unregistered
[16/02/2017 10:18:05.735]   Re-register success
[16/02/2017 10:19:04.225]   Re-register
[16/02/2017 10:19:04.227]   Unregistered
[16/02/2017 10:19:05.737]   Re-register success
[16/02/2017 10:20:04.223]   Re-register
[16/02/2017 10:20:04.225]   Unregistered
[16/02/2017 10:20:05.734]   Re-register success
[16/02/2017 10:21:04.224]   Re-register
[16/02/2017 10:21:04.229]   Unregistered
[16/02/2017 10:21:05.745]   Re-register success
[16/02/2017 10:22:04.225]   Re-register
[16/02/2017 10:22:04.229]   Unregistered
[16/02/2017 10:22:05.736]   Re-register success
[16/02/2017 10:23:04.223]   Re-register
[16/02/2017 10:23:04.225]   Unregistered
[16/02/2017 10:23:05.738]   Re-register success
[16/02/2017 10:24:04.223]   Re-register
[16/02/2017 10:24:04.226]   Unregistered
[16/02/2017 10:24:05.734]   Re-register success
[16/02/2017 10:25:04.223]   Re-register
[16/02/2017 10:25:04.225]   Unregistered
[16/02/2017 10:25:05.734]   Re-register success
[16/02/2017 10:26:04.224]   Re-register
[16/02/2017 10:26:04.227]   Unregistered
[16/02/2017 10:26:05.741]   Re-register success
[16/02/2017 10:27:04.225]   Re-register
[16/02/2017 10:27:04.229]   Unregistered
[16/02/2017 10:27:05.748]   Re-register success
[16/02/2017 10:28:04.224]   Re-register
[16/02/2017 10:28:04.226]   Unregistered
[16/02/2017 10:28:05.741]   Re-register success
[16/02/2017 10:29:04.223]   Re-register
[16/02/2017 10:29:04.230]   Unregistered
[16/02/2017 10:29:05.751]   Re-register success
[16/02/2017 10:30:04.225]   Re-register
[16/02/2017 10:30:04.227]   Unregistered
[16/02/2017 10:30:05.735]   Re-register success
[16/02/2017 10:31:04.223]   Re-register
[16/02/2017 10:31:04.228]   Unregistered
[16/02/2017 10:31:05.739]   Re-register success
[16/02/2017 10:32:04.225]   Re-register
[16/02/2017 10:32:04.227]   Unregistered
[16/02/2017 10:32:05.735]   Re-register success
[16/02/2017 10:33:04.223]   Re-register
[16/02/2017 10:33:04.225]   Unregistered
[16/02/2017 10:33:05.734]   Re-register success
[16/02/2017 10:34:04.224]   Re-register
[16/02/2017 10:34:04.228]   Unregistered
[16/02/2017 10:34:05.741]   Re-register success
[16/02/2017 10:35:04.223]   Re-register
[16/02/2017 10:35:04.229]   Unregistered
[16/02/2017 10:35:05.735]   Re-register success
[16/02/2017 10:36:04.223]   Re-register
[16/02/2017 10:36:04.229]   Unregistered
[16/02/2017 10:36:05.736]   Re-register success
[16/02/2017 10:37:04.224]   Re-register
[16/02/2017 10:37:04.226]   Unregistered
[16/02/2017 10:37:05.733]   Re-register success
[16/02/2017 10:38:04.224]   Re-register
[16/02/2017 10:38:04.225]   Unregistered
[16/02/2017 10:38:05.733]   Re-register success
[16/02/2017 10:39:04.224]   Re-register
[16/02/2017 10:39:04.226]   Unregistered
[16/02/2017 10:39:05.736]   Re-register success
[16/02/2017 10:40:04.224]   Re-register
[16/02/2017 10:40:04.227]   Unregistered
[16/02/2017 10:40:05.784]   Re-register success
[16/02/2017 10:41:04.230]   Re-register
[16/02/2017 10:41:04.232]   Unregistered
[16/02/2017 10:41:05.739]   Re-register success
[16/02/2017 10:42:04.228]   Re-register
[16/02/2017 10:42:04.231]   Unregistered
[16/02/2017 10:42:05.740]   Re-register success
[16/02/2017 10:43:04.236]   Re-register
[16/02/2017 10:43:04.238]   Unregistered
[16/02/2017 10:43:05.746]   Re-register success
[16/02/2017 10:44:04.228]   Re-register
[16/02/2017 10:44:04.230]   Unregistered
[16/02/2017 10:44:05.750]   Re-register success
[16/02/2017 10:45:04.223]   Re-register
[16/02/2017 10:45:04.225]   Unregistered
[16/02/2017 10:45:05.730]   Re-register success
[16/02/2017 10:46:04.228]   Re-register
[16/02/2017 10:46:04.231]   Unregistered
[16/02/2017 10:46:05.746]   Re-register success
[16/02/2017 10:47:04.223]   Re-register
[16/02/2017 10:47:04.226]   Unregistered
[16/02/2017 10:47:05.745]   Re-register success
[16/02/2017 10:48:04.230]   Re-register
[16/02/2017 10:48:04.235]   Unregistered
[16/02/2017 10:48:05.746]   Re-register success
[16/02/2017 10:49:04.229]   Re-register
[16/02/2017 10:49:04.233]   Unregistered
[16/02/2017 10:49:05.752]   Re-register success
[16/02/2017 10:50:04.225]   Re-register
[16/02/2017 10:50:04.227]   Unregistered
[16/02/2017 10:50:05.734]   Re-register success
[16/02/2017 10:51:04.226]   Re-register
[16/02/2017 10:51:04.227]   Unregistered
[16/02/2017 10:51:05.734]   Re-register success
[16/02/2017 10:52:04.225]   Re-register
[16/02/2017 10:52:04.232]   Unregistered
[16/02/2017 10:52:05.750]   Re-register success
[16/02/2017 10:53:04.229]   Re-register
[16/02/2017 10:53:04.231]   Unregistered
[16/02/2017 10:53:05.739]   Re-register success
[16/02/2017 10:54:04.226]   Re-register
[16/02/2017 10:54:04.229]   Unregistered
[16/02/2017 10:54:05.736]   Re-register success
[16/02/2017 10:55:04.229]   Re-register
[16/02/2017 10:55:04.231]   Unregistered
[16/02/2017 10:55:05.739]   Re-register success
[16/02/2017 10:56:04.224]   Re-register
[16/02/2017 10:56:04.231]   Unregistered
[16/02/2017 10:56:05.740]   Re-register success
[16/02/2017 10:57:04.228]   Re-register
[16/02/2017 10:57:04.233]   Unregistered
[16/02/2017 10:57:05.742]   Re-register success
[16/02/2017 10:58:04.225]   Re-register
[16/02/2017 10:58:04.227]   Unregistered
[16/02/2017 10:58:05.739]   Re-register success
[16/02/2017 10:59:04.225]   Re-register
[16/02/2017 10:59:04.227]   Unregistered
[16/02/2017 10:59:05.740]   Re-register success
[16/02/2017 11:00:04.229]   Re-register
[16/02/2017 11:00:04.234]   Unregistered
[16/02/2017 11:00:05.748]   Re-register success
[16/02/2017 11:01:04.224]   Re-register
[16/02/2017 11:01:04.228]   Unregistered
[16/02/2017 11:01:05.733]   Re-register success
[16/02/2017 11:02:04.225]   Re-register
[16/02/2017 11:02:04.229]   Unregistered
[16/02/2017 11:02:05.737]   Re-register success
[16/02/2017 11:03:04.228]   Re-register
[16/02/2017 11:03:04.230]   Unregistered
[16/02/2017 11:03:05.735]   Re-register success
